Year,Scenario,PVCZ,Expected EoL Systems,Smoothed EoL Systems
2037,Scenario 2,T7:H4,13366.286957298353,13390.034733016977
2037,Scenario 2,T8:H4,717.3321941693955,718.571350523567
2037,Scenario 3,T6:H4,223.8866981634393,223.35122764873913
2037,Scenario 3,T7:H4,14830.299401979144,14811.355699782225
2037,Scenario 3,T8:H4,943.0975942960193,940.8017304610206
2038,Scenario 1,T6:H4,183.22242654029137,183.07079726918036
2038,Scenario 1,T7:H4,13672.407632252161,13714.672573744872
2038,Scenario 1,T8:H4,553.7968948140135,559.3438434993426
2038,Scenario 2,T6:H4,206.19629667656824,205.7846884365737
2038,Scenario 2,T7:H4,14321.455768837273,14331.023136283307
2038,Scenario 2,T8:H4,745.3595360286629,747.2326976946565
2038,Scenario 3,T6:H4,229.1701668128452,228.49857960396704
2038,Scenario 3,T7:H4,14970.503905422414,14947.373698821737
2038,Scenario 3,T8:H4,936.9221772433126,935.1215518899695
2039,Scenario 1,T6:H4,201.0560869535231,200.969349537762
2039,Scenario 1,T7:H4,15569.335576364903,15583.489448263288
2039,Scenario 1,T8:H4,632.6678416412441,639.1658413189244
2039,Scenario 2,T6:H4,216.74748039456983,216.3837229036695
2039,Scenario 2,T7:H4,15305.326682714294,15299.171772064381
2039,Scenario 2,T8:H4,779.0063628859109,781.7646396512713
2039,Scenario 3,T6:H4,232.43887383561662,231.79809626957703
2039,Scenario 3,T7:H4,15041.31778906365,15014.854095865468
2039,Scenario 3,T8:H4,925.3448841305767,924.3634379836182
2040,Scenario 1,T6:H4,218.62953511947163,219.14134332833365
2040,Scenario 1,T7:H4,17508.725136172798,17492.069813398462
2040,Scenario 1,T8:H4,731.0327875015157,738.3547224603104
2040,Scenario 2,T6:H4,226.2073916398704,226.26347139226357
2040,Scenario 2,T7:H4,16270.732864641579,16247.72158559916
2040,Scenario 2,T8:H4,820.92802003924,824.5731816597889
2040,Scenario 3,T6:H4,233.7852481602692,233.38559945619332
2040,Scenario 3,T7:H4,15032.740593110337,15003.373357799836
2040,Scenario 3,T8:H4,910.8232525769652,910.7916408592679
2041,Scenario 1,T6:H4,237.73840791200627,239.1432313746474
2041,Scenario 1,T7:H4,19398.148727657688,19335.734711742065
2041,Scenario 1,T8:H4,851.3635382381716,858.7665037590946
2041,Scenario 2,T6:H4,235.83554214235045,236.5187786790076
2041,Scenario 2,T7:H4,17167.105209441608,17117.592635324752
2041,Scenario 2,T8:H4,873.7851620542158,877.8663549442076
2041,Scenario 3,T6:H4,233.93267637269417,233.8943259833677
2041,Scenario 3,T7:H4,14936.061691225521,14899.450558907438
2041,Scenario 3,T8:H4,896.2067858702618,896.9662061293205
2042,Scenario 1,T6:H4,261.0617510924643,262.96988730794413
2042,Scenario 1,T7:H4,21100.33027139571,20959.08158021629
2042,Scenario 1,T8:H4,993.9031855375964,999.8594988217164
2042,Scenario 2,T6:H4,247.51340225480197,248.57241864979054
2042,Scenario 2,T7:H4,17914.93983189108,17816.9508891264
2042,Scenario 2,T8:H4,938.8858827391672,942.3956717390807
2042,Scenario 3,T6:H4,233.96505341713967,234.17494999163662
2042,Scenario 3,T7:H4,14729.549392386452,14674.820198036536
2042,Scenario 3,T8:H4,883.8685799407348,884.9318446564461
2043,Scenario 1,T6:H4,290.1095029193619,291.5168504101341
2043,Scenario 1,T7:H4,22378.765741595475,22134.441812921363
2043,Scenario 1,T8:H4,1154.3117726893813,1156.84829120241
2043,Scenario 2,T6:H4,262.3683115522192,263.140540517837
2043,Scenario 2,T7:H4,18368.80762604652,18206.021244451582
2043,Scenario 2,T8:H4,1014.5159704238592,1016.1237485857806
2043,Scenario 3,T6:H4,234.6271201850761,234.7642306255403
2043,Scenario 3,T7:H4,14358.84951049763,14277.600675981803
2043,Scenario 3,T8:H4,874.7201681583413,875.3992059691512
2044,Scenario 1,T6:H4,323.37929721857614,323.32044132348943
2044,Scenario 1,T7:H4,22924.229425772908,22610.027926703315
2044,Scenario 1,T8:H4,1322.3299153802525,1319.6749124893938
2044,Scenario 2,T6:H4,279.5399077464899,279.3860349756217
2044,Scenario 2,T7:H4,18334.31627541715,18128.40798382127
2044,Scenario 2,T8:H4,1094.9693925943157,1093.4578420407536
